App Category,Usage (hours),Access count,average_time_per_access (Minutes),average_time_per_day (Minutes)
Social Media,329,6141,3.214460186,102.2797927
Communication,145,6366,1.36663525,45.07772021
Communication,105,5843,1.078213247,32.64248705
Gaming,85,545,9.357798165,26.42487047
Entertainment,82,1275,3.858823529,25.49222798
Internet Browsing,43,501,5.149700599,13.36787565
Elearning,26,411,3.795620438,8.082901554
Internet Browsing,26,230,6.782608696,8.082901554
Internet Browsing,22,1256,1.050955414,6.839378238
Entertainment,18,440,2.454545455,5.595854922
Entertainment,17,210,4.857142857,5.284974093
Shopping,11,526,1.254752852,3.419689119
Elearning,8,1024,0.46875,2.487046632
Delivery,8,268,1.791044776,2.487046632
Delivery,8,338,1.420118343,2.487046632
Elearning,7,105,4,2.176165803
